p,gmn
0.1,-4.49323e-11
0.1,-2.45923e-14
0.1,-2.47119e-11
0.1,-4.49324e-11
0.1,-3.36849e-14
0.1,-1.14657e-12
0.1,-4.50821e-14
0.1,-2.77129e-08
0.1,-3.17262e-09
0.1,-6.27125e-09
0.1,-1.0205e-09
0.1,-4.49323e-11
0.1,-2.89487e-10
0.1,-2.01749e-15
0.1,-7.17861e-14
0.1,-4.49324e-11
0.1,-4.76857e-10
0.1,-4.49324e-11
0.1,-1.71232e-14
0.1,-2.28262e-14
0.1,-7.34037e-15
0.1,-4.49324e-11
0.1,0.0633385
0.1,-4.49323e-11
0.1,-1.41247e-11
0.1,-4.49324e-11
0.1,-4.2429e-13
0.1,-1.59037e-08
0.1,-3.96746e-12
0.1,-5.3924e-12
0.1,-4.49323e-11
0.1,-9.07658e-10
0.1,-4.49324e-11
0.1,-1.45949e-09
0.1,-1.48885e-09
0.1,-2.97187e-09
0.1,-1.47586e-10
0.1,-1.15488e-09
0.1,-8.00005e-10
0.1,-4.49323e-11
0.1,-4.49323e-11
0.1,-3.07166e-13
0.1,-3.45059e-11
0.1,-2.66294e-13
0.1,-2.85527e-14
0.1,-8.58347e-14
0.1,-1.23304e-15
0.1,-5.59241e-10
0.1,-4.00648e-15
0.1,-5.82656e-15
0.1,-1.70614e-15
0.1,-9.04637e-09
0.1,0.0371458
0.1,-8.41063e-09
0.1,-2.85668e-13
0.1,-5.00706e-08
0.1,-4.49324e-11
0.1,-4.49324e-11
0.1,-1.79269e-08
0.1,-2.21802e-11
0.1,0.3082
0.1,-5.06089e-09
0.1,-1.36405e-13
0.1,-4.49368e-11
0.1,-6.3899e-09
0.1,-4.49324e-11
0.1,-1.13834e-10
0.1,0.132349
0.1,-5.76625e-14
0.1,0.143038
0.1,-2.08226e-09
0.1,-2.26508e-08
0.1,-1.17761e-08
0.1,-4.4939e-11
0.1,-7.10603e-14
0.1,-8.62355e-11
0.1,-4.49324e-11
0.1,-3.92082e-15
0.1,-1.18801e-09
0.1,-2.28543e-13
0.1,-3.77775e-10
0.1,-8.2604e-15
0.1,-4.32663e-11
0.1,-1.20974e-09
0.1,-1.82821e-12
0.1,-1.47523e-09
0.1,-4.49323e-11
0.1,-4.6542e-09
0.1,0.00436733
0.1,-3.92855e-13
0.1,-7.76598e-09
0.1,-2.38265e-08
0.1,-5.97103e-08
0.1,-2.73172e-15
0.1,-4.4939e-11
0.1,0.0622457
0.1,-4.49328e-11
0.1,-4.49324e-11
0.1,-2.30691e-13
0.1,-4.49323e-11
0.1,-5.27701e-15
0.1,-4.49324e-11
0.1,-3.73197e-09
0.1,-2.75512e-13
0.1,-2.59891e-11
0.1,-4.49324e-11
0.1,-1.40772e-10
0.1,-5.92293e-10
0.1,-1.06609e-13
0.1,-1.15349e-09
0.1,-2.08062e-08
0.1,-3.65346e-09
0.1,-3.75304e-10
0.1,0.0479461
0.1,-1.84035e-15
0.1,-9.21829e-10
0.1,-1.03897e-07
0.1,-1.31365e-14
0.1,0.0308894
0.1,-2.33129e-08
0.1,-1.20421e-10
0.1,-4.49324e-11
0.1,0.0355895
0.1,-1.31726e-09
0.1,-4.49324e-11
0.1,-5.52411e-08
0.1,-1.427e-12
0.1,-2.15417e-11
0.1,-2.07928e-08
0.1,0.0545988
0.1,-2.84565e-08
0.1,-4.49324e-11
0.1,-4.49328e-11
0.1,-2.23186e-11
0.1,-3.8426e-11
0.1,-1.73922e-11
0.1,-1.74421e-15
0.1,-3.11325e-09
0.1,-1.30964e-08
0.1,-1.98858e-11
0.1,-4.49348e-11
0.1,-1.01543e-10
0.1,-6.17565e-10
0.1,-1.40134e-09
0.1,-2.22456e-14
0.1,0.172326
0.1,-4.49323e-11
0.1,-4.49324e-11
0.1,-5.97928e-10
0.1,-4.49334e-11
0.1,-1.96952e-09
0.1,-1.37302e-12
0.1,0.111951
0.1,-1.05373e-08
0.1,-2.93871e-10
0.1,-3.65554e-14
0.1,-6.88187e-10
0.1,0.0534207
0.1,-1.06557e-12
0.1,-1.20979e-09
0.1,-4.15742e-09
0.1,-4.03916e-10
0.1,-4.42041e-09
0.1,-1.46863e-08
0.1,-2.01403e-08
0.1,-1.21528e-10
0.1,-9.176e-13
0.1,-4.49323e-11
0.1,-1.13182e-13
0.1,-1.78906e-09
0.1,-2.54943e-15
0.1,-1.91793e-09
0.1,-5.80623e-11
0.1,-4.41242e-13
0.1,-1.42197e-09
0.1,-2.71908e-14
0.1,-2.92061e-09
0.1,-1.08402e-10
0.1,-1.27633e-09
0.1,-7.78632e-09
0.1,-1.12236e-09
0.1,-2.97387e-10
0.1,-6.66342e-14
0.1,-7.65244e-13
0.1,0.130092
0.1,-5.48794e-15
0.1,-4.49347e-11
0.1,-3.88503e-08
0.1,-6.20484e-09
0.1,-1.76547e-08
0.1,-4.4295e-08
0.1,-5.33173e-12
0.1,-3.80903e-10
0.1,0.0888629
0.1,-4.49324e-11
0.1,-3.79197e-09
0.1,-5.38666e-09
0.1,-4.49324e-11
0.1,-5.65296e-09
0.1,-5.82294e-15
0.1,-4.49325e-11
0.1,-5.05082e-08
0.1,-7.93862e-13
0.1,-7.64493e-12
0.1,-2.59629e-13
0.1,-4.49325e-11
0.1,-1.19827e-09
0.1,-3.26288e-13
0.1,-4.77937e-10
0.1,-7.30853e-09
0.1,-1.18101e-08
0.1,-4.49324e-11
0.1,-3.48968e-10
0.1,-4.11593e-11
0.1,-2.44001e-08
0.1,-4.49324e-11
0.1,-1.82966e-13
0.1,-3.31656e-09
0.1,-7.76838e-13
0.1,-6.2218e-14
0.1,-3.40722e-15
0.1,-3.71625e-09
0.1,-1.13109e-08
0.1,-4.36763e-08
0.1,-1.07497e-11
0.1,-1.95516e-09
0.1,-2.37926e-08
0.1,-4.49324e-11
0.1,-1.70702e-13
0.1,-1.7632e-08
0.1,-4.49324e-11
0.1,-3.6813e-10
0.1,-3.94743e-12
0.1,-2.05517e-12
0.1,-2.34199e-09
0.1,-6.66572e-14
0.1,-4.49324e-11
0.1,-5.68915e-11
0.1,-8.5093e-13
0.1,0.267185
0.1,-1.59211e-11
0.1,-7.47859e-10
0.1,-3.47225e-09
0.1,-4.60269e-08
0.1,-1.74863e-11
0.1,-4.49323e-11
0.1,-1.90963e-09
0.1,0.0522514
0.1,-3.43184e-10
0.1,-9.58808e-09
0.1,-4.49324e-11
0.1,-2.74171e-12
0.1,-4.49324e-11
0.1,-2.31187e-13
0.1,-8.79934e-09
0.1,-1.11428e-08
0.1,-8.39896e-11
0.1,-9.0592e-16
0.1,-2.18964e-09
0.1,-9.80987e-16
0.1,-6.57355e-13
0.1,-2.3931e-13
0.1,-1.1279e-08
0.1,-2.01976e-08
0.1,-1.42599e-09
0.1,-4.49336e-11
0.1,0.0573525
0.1,-9.36388e-11
0.1,0.169206
0.1,-3.07652e-09
0.1,0.109936
0.1,-3.30291e-15
0.1,-7.96578e-09
0.1,-8.80007e-14
0.1,-7.52855e-09
0.1,-1.41449e-09
0.1,-5.51366e-16
0.1,-2.92514e-08
0.1,-8.96601e-13
0.1,-4.01403e-09
0.1,0.0381939
